Si. No (Col. 1),Category ,State/UT (Col. 2),Juveniles Apprehended - Boys - (Col. 3),Juveniles Apprehended - Girls - (Col. 4),Juveniles Apprehended - Total - (Col. 5),18 Years & Above - Below 30 Years - Male - (Col. 6),18 Years & Above - Below 30 Years - Female - (Col. 7),18 Years & Above - Below 30 Years - Total - (Col. 8),30 Years & above - Below 45 Years - Male - (Col. 9),30 Years & above - Below 45 Years - Female - (Col. 10),30 Years & above - Below 45 Years - Total - (Col. 11),45 Years & above - Below 60 Years - Male - (Col. 12),45 Years & above - Below 60 Years - Female - (Col. 13),45 Years & above - Below 60 Years - Total - (Col. 14),60 Years & Above - Male - (Col. 15),60 Years & Above - Female - (Col. 16),60 Years & Above - Total - (Col. 17),Total - Male - (Col. 18),Total - Female - (Col. 19),Total - Total Persons Arrested by age and Sex - (Col. 20)
1,State,Andhra Pradesh,821,4,825,42181,3821,46002,48204,4804,53008,22168,2089,24257,2423,221,2644,115797,10939,126736
2,State,Arunachal Pradesh,33,0,33,1075,55,1130,808,53,861,111,6,117,11,1,12,2038,115,2153
3,State,Assam,178,0,178,56348,598,56946,53280,570,53850,21376,218,21594,1050,23,1073,132232,1409,133641
4,State,Bihar,716,0,716,50751,1988,52739,42030,2408,44438,15246,661,15907,230,2,232,108973,5059,114032
5,State,Chhattisgarh,2336,50,2386,44154,2671,46825,28667,2684,31351,11036,1026,12062,995,132,1127,87188,6563,93751
6,State,Goa,28,1,29,2161,42,2203,1572,60,1632,538,19,557,61,4,65,4360,126,4486
7,State,Gujarat,1877,28,1905,187801,5292,193093,165200,6701,171901,61798,2668,64466,4798,554,5352,421474,15243,436717
8,State,Haryana,1087,3,1090,43496,1422,44918,29854,1720,31574,10271,689,10960,631,88,719,85339,3922,89261
9,State,Himachal Pradesh,215,4,219,4414,551,4965,4485,679,5164,1858,406,2264,249,60,309,11221,1700,12921
10,State,Jharkhand,57,0,57,22827,846,23673,19583,1490,21073,3941,227,4168,39,0,39,46447,2563,49010
11,State,Karnataka,456,3,459,50485,3174,53659,50005,5480,55485,17476,2557,20033,1869,408,2277,120291,11622,131913
12,State,Kerala,361,3,364,64323,744,65067,66549,1738,68287,25719,830,26549,3098,241,3339,160050,3556,163606
13,State,Madhya Pradesh,4831,57,4888,112730,5080,117810,85058,5327,90385,31163,2368,33531,5468,398,5866,239250,13230,252480
14,State,Maharashtra,4600,95,4695,130588,6510,137098,112470,8648,121118,39782,3391,43173,3401,455,3856,290841,19099,309940
15,State,Manipur,14,3,17,521,20,541,737,61,798,95,2,97,8,0,8,1375,86,1461
16,State,Meghalaya,29,0,29,700,9,709,455,10,465,141,6,147,10,0,10,1335,25,1360
17,State,Mizoram,12,0,12,734,31,765,579,64,643,95,13,108,12,0,12,1432,108,1540
18,State,Nagaland,11,0,11,376,10,386,476,14,490,96,0,96,6,0,6,965,24,989
19,State,Odisha,1291,43,1334,32499,1423,33922,9241,533,9774,1890,142,2032,26,1,27,44947,2142,47089
20,State,Punjab,274,1,275,27705,1368,29073,24098,1897,25995,10785,691,11476,415,40,455,63277,3997,67274
21,State,Rajasthan,2781,39,2820,72499,3894,76393,56243,4648,60891,23217,1723,24940,2083,137,2220,156823,10441,167264
22,State,Sikkim,6,1,7,273,18,291,201,19,220,43,5,48,6,1,7,529,44,573
23,State,Tamil Nadu,3306,3,3309,514656,25311,539967,483236,33960,517196,229311,18276,247587,35118,2601,37719,1265627,80151,1345778
24,State,Telangana,1191,0,1191,39297,3684,42981,34826,3184,38010,10866,1149,12015,223,30,253,86403,8047,94450
25,State,Tripura,19,0,19,1385,34,1419,820,44,864,265,21,286,16,0,16,2505,99,2604
26,State,Uttar Pradesh,1097,4,1101,243377,6994,250371,145031,7095,152126,48517,1929,50446,428,13,441,438450,16035,454485
27,State,Uttarakhand,64,0,64,3720,53,3773,5092,110,5202,1035,22,1057,10,0,10,9921,185,10106
28,State,West Bengal,453,19,472,55197,2666,57863,67995,3505,71500,22351,1257,23608,1578,99,1677,147574,7546,155120
Total State(s),Total State(s),Total State(s),28144,361,28505,1806273,78309,1884582,1536795,97506,1634301,611190,42391,653581,64262,5509,69771,4046664,224076,4270740
29,Union Territories,A & N Islands,12,0,12,249,5,254,237,11,248,68,3,71,16,0,16,582,19,601
30,Union Territories,Chandigarh,77,0,77,1382,31,1413,901,70,971,376,20,396,60,14,74,2796,135,2931
31,Union Territories,D & N Haveli and Daman & Diu,24,0,24,444,18,462,307,24,331,107,13,120,23,4,27,905,59,964
32,Union Territories,Delhi,2762,4,2766,49927,587,50514,39393,773,40166,13277,259,13536,679,30,709,106038,1653,107691
33,Union Territories,Jammu & Kashmir,187,4,191,11362,624,11986,12672,821,13493,6845,446,7291,172,13,185,31238,1908,33146
34,Union Territories,Ladakh,0,0,0,138,1,139,178,0,178,115,0,115,39,0,39,470,1,471
35,Union Territories,Lakshadweep,1,0,1,19,0,19,34,1,35,7,0,7,0,0,0,61,1,62
36,Union Territories,Puducherry,42,0,42,308,4,312,6115,171,6286,1507,96,1603,2,1,3,7974,272,8246
Total UT(s),Total UT(s),Total UT(s),3105,8,3113,63829,1270,65099,59837,1871,61708,22302,837,23139,991,62,1053,150064,4048,154112
Total All India,Total All India,Total All India,31249,369,31618,1870102,79579,1949681,1596632,99377,1696009,633492,43228,676720,65253,5571,70824,4196728,228124,4424852
