Sl. No.,State/UT,Juveniles Apprehended - Boys - ( Col. 3),Juveniles Apprehended - Girls - ( Col. 4),Juveniles Apprehended - Transgender - ( Col. 5),Juveniles Apprehended - Total - ( Col. 6),18 Years & Above - Below 30 Years - Male - ( Col. 7),18 Years & Above - Below 30 Years - Female - ( Col. 8),18 Years & Above - Below 30 Years - Transgender - ( Col. 9),18 Years & Above - Below 30 Years - Total - ( Col. 10),30 Years & above - Below 45 Years - Male - ( Col. 11),30 Years & above - Below 45 Years - Female - ( Col. 12),30 Years & above - Below 45 Years - Transgender - ( Col. 13),30 Years & above - Below 45 Years - Total - ( Col. 14),45 Years & above - Below 60 Years - Male - ( Col. 15),45 Years & above - Below 60 Years - Female - ( Col. 16),45 Years & above - Below 60 Years - Transgender - ( Col. 17),45 Years & above - Below 60 Years - Total - ( Col. 18),60 Years & Above - Male - ( Col. 19),60 Years & Above - Female - ( Col. 20),60 Years & Above - Transgender - ( Col. 21),60 Years & Above - Total - ( Col. 22),Total - Male - ( Col. 23),Total - Female - ( Col. 24),Total - Transgender - ( Col. 25),Total - Total Persons Arrested by Age and Gender - ( Col. 26)
1,Andhra Pradesh,86,1,0,87,12691,309,0,13000,12899,550,0,13449,4246,178,0,4424,177,10,0,187,30099,1048,0,31147
2,Arunachal Pradesh,9,0,0,9,293,26,0,319,259,32,0,291,33,2,0,35,0,3,0,3,594,63,0,657
3,Assam,59,0,0,59,8703,51,0,8754,8108,112,0,8220,1565,11,0,1576,41,0,0,41,18476,174,0,18650
4,Bihar,835,1,0,836,70652,2116,0,72768,66921,3019,0,69940,24728,976,0,25704,302,7,0,309,163438,6119,0,169557
5,Chhattisgarh,272,1,0,273,25815,227,0,26042,25460,621,0,26081,6423,260,0,6683,637,19,0,656,58607,1128,0,59735
6,Goa,3,0,0,3,367,25,0,392,462,10,0,472,285,0,0,285,42,1,0,43,1159,36,0,1195
7,Gujarat,288,0,0,288,128514,21313,0,149827,150706,46446,0,197152,61055,28001,0,89056,3762,1858,0,5620,344325,97618,0,441943
8,Haryana,259,2,0,261,18967,299,1,19267,16818,396,1,17215,4479,88,0,4567,433,14,0,447,40956,799,2,41757
9,Himachal Pradesh,19,0,0,19,1712,52,0,1764,1910,108,0,2018,1052,57,0,1109,116,12,0,128,4809,229,0,5038
10,Jharkhand,27,0,0,27,7970,143,0,8113,7139,345,0,7484,1844,158,0,2002,149,9,0,158,17129,655,0,17784
