Sl. No. - Col. (1),State/UT - Col. (2),Juveniles Apprehended - Boys - Col. (3),Juveniles Apprehended - Girls - Col. (4),Juveniles Apprehended - Transgender - Col. (5),Juveniles Apprehended - Total - Col. (6),18 Years and Above - Below 30 Years - Male - Col. (7),18 Years and Above - Below 30 Years - Female - Col. (8),18 Years and Above - Below 30 Years - Transgender - Col. (9),18 Years and Above - Below 30 Years - Total - Col. (10),30 Years and above - Below 45 Years - Male - Col. (11),30 Years and above - Below 45 Years - Female - Col. (12),30 Years and above - Below 45 Years - Transgender - Col. (13),30 Years and above - Below 45 Years - Total - Col. (14),45 Years and above - Below 60 Years - Male - Col. (15),45 Years and above - Below 60 Years - Female - Col. (16),45 Years and above - Below 60 Years - Transgender - Col. (17),45 Years and above - Below 60 Years - Total - Col. (18),60 Years and Above - Male - Col. (19),60 Years and Above - Female - Col. (20),60 Years and Above - Transgender - Col. (21),60 Years and Above - Total - Col. (22),Total - Male - Col. (23),Total - Female - Col. (24),Total - Transgender - Col. (25),Total Persons Arrested by Age and Gender - Col. (26)
1,Andhra Pradesh,1075,5,0,1080,59582,7055,8,66645,56043,7952,0,63995,24192,2892,0,27084,1418,249,0,1667,142310,18153,8,160471
2,Arunachal Pradesh,27,2,0,29,872,11,0,883,964,30,0,994,122,2,0,124,7,1,0,8,1992,46,0,2038
3,Assam,180,0,0,180,31981,626,0,32607,33812,610,0,34422,6082,145,0,6227,37,0,0,37,72092,1381,0,73473
4,Bihar,1166,1,0,1167,92983,4356,0,97339,69388,3989,0,73377,21876,2155,0,24031,154,5,0,159,185567,10506,0,196073
5,Chhattisgarh,2593,50,0,2643,44472,2561,1,47034,36508,2574,2,39084,10567,1054,0,11621,1186,169,0,1355,95326,6408,3,101737
6,Goa,29,0,0,29,1100,38,0,1138,925,41,0,966,320,18,0,338,40,1,0,41,2414,98,0,2512
7,Gujarat,1493,13,0,1506,67945,3341,9,71295,58827,5041,12,63880,22268,2336,0,24604,1686,362,0,2048,152219,11093,21,163333
8,Haryana,1324,7,0,1331,44408,1446,0,45854,32030,1664,7,33701,8727,820,0,9547,1087,221,0,1308,87576,4158,7,91741
9,Himachal Pradesh,188,2,0,190,3583,196,0,3779,3660,429,0,4089,1364,234,0,1598,224,34,0,258,9019,895,0,9914
10,Jharkhand,135,0,0,135,20009,772,0,20781,16893,1343,0,18236,3440,285,0,3725,284,30,0,314,40761,2430,0,43191
11,Karnataka,600,5,0,605,52233,3631,21,55885,52517,5452,7,57976,20432,2454,0,22886,2704,485,0,3189,128486,12027,28,140541
12,Kerala,478,3,0,481,84351,1360,12,85723,91904,2737,0,94641,40251,2030,0,42281,7389,431,0,7820,224373,6561,12,230946
13,Madhya Pradesh,3691,33,0,3724,72485,3594,0,76079,50780,3921,2,54703,17912,1581,0,19493,2061,268,0,2329,146929,9397,2,156328
14,Maharashtra,5161,105,0,5266,126502,4948,35,131485,101873,6716,33,108622,37805,2712,6,40523,2788,335,0,3123,274129,14816,74,289019
15,Manipur,12,0,0,12,460,13,0,473,667,50,0,717,165,9,0,174,14,1,0,15,1318,73,0,1391
16,Meghalaya,17,0,0,17,395,3,0,398,255,6,0,261,44,1,0,45,7,0,0,7,718,10,0,728
17,Mizoram,47,0,0,47,1600,62,0,1662,1163,96,0,1259,159,24,0,183,21,4,0,25,2990,186,0,3176
18,Nagaland,4,0,0,4,280,5,0,285,463,7,0,470,115,2,0,117,10,0,0,10,872,14,0,886
19,Odisha,1266,17,0,1283,36573,1486,0,38059,9649,478,0,10127,575,22,0,597,27,4,0,31,48090,2007,0,50097
20,Punjab,479,1,0,480,24739,1336,1,26076,21825,1806,1,23632,8397,499,0,8896,251,20,0,271,55691,3662,2,59355
21,Rajasthan,3689,46,0,3735,83952,5189,0,89141,69435,4991,0,74426,24881,1662,0,26543,2579,222,0,2801,184536,12110,0,196646
22,Sikkim,3,0,0,3,222,13,0,235,228,15,0,243,56,1,0,57,3,0,0,3,512,29,0,541
